,bacdive_id,ncbi_tax_ids,t_conditions,t_growth,t_optimum,t_maximum,t_minimum,t_growth_avg,t_optimum_avg,t_maximum_avg,t_minimum_avg,t_growth_max,t_optimum_max
0,1,[435],mesophilic,[[26.0]],,,,26.0,,,,26.0,
1,2,"[435, 887700]",mesophilic,"[[26.0], [30.0]]",,,,28.0,,,,30.0,
2,3,"[178900, 438]",mesophilic,"[[26.0], [30.0]]",,,,28.0,,,,30.0,
3,4,"[940265, 266, 438]",mesophilic,"[[26.0], [30.0]]",,,,28.0,,,,30.0,
4,5,,mesophilic,"[[28.0], [30.0]]",,,,29.0,,,,30.0,
5,6,[442],mesophilic,[[28.0]],,,,28.0,,,,28.0,
6,7,[438],mesophilic,[[28.0]],,,,28.0,,,,28.0,
7,8,"[104099, 435, 438]",mesophilic,[[28.0]],,,,28.0,,,,28.0,
8,9,"[104100, 438]",mesophilic,[[28.0]],,,,28.0,,,,28.0,
9,10,"[104097, 438]",mesophilic,[[28.0]],,,,28.0,,,,28.0,
10,11,[65959],mesophilic,"[[30.0], [30.0], [30.0]]",,,,30.0,,,,30.0,
11,12,"[104097, 178900]",mesophilic,"[[28.0], [30.0]]",,,,29.0,,,,30.0,
12,13,[178901],mesophilic,"[[28.0], [30.0]]",,,,29.0,,,,30.0,
13,14,[146476],mesophilic,"[[30.0], [30.0]]",,,,30.0,,,,30.0,
14,15,[146475],mesophilic,"[[30.0], [30.0]]",,,,30.0,,,,30.0,
15,16,[146474],mesophilic,"[[30.0], [30.0]]",,,,30.0,,,,30.0,
16,17,[104102],mesophilic,[[30.0]],,,,30.0,,,,30.0,
17,18,[104101],mesophilic,[[30.0]],,,,30.0,,,,30.0,
18,19,[304077],mesophilic,"[[25.0], [25.0]]",,,,25.0,,,,25.0,
19,20,[1120919],mesophilic,[[28.0]],,,,28.0,,,,28.0,
20,21,[446692],mesophilic,"[[35.0], [28.0, 40.0]]",[[35.0]],,,34.333333333333336,35.0,,,40.0,35.0
21,22,[431306],mesophilic,[[30.0]],,,,30.0,,,,30.0,
22,23,[483199],mesophilic,[[28.0]],,,,28.0,,,,28.0,
23,24,"[940265, 438]",mesophilic,[[26.0]],,,,26.0,,,,26.0,
24,25,[438],mesophilic,[[26.0]],,,,26.0,,,,26.0,
25,26,[524],mesophilic,[[28.0]],"[[35.0, 41.0]]",,,28.0,38.0,,,28.0,41.0
26,27,,mesophilic,[[28.0]],,,,28.0,,,,28.0,
27,28,,mesophilic,[[30.0]],,,,30.0,,,,30.0,
28,29,[524],mesophilic,[[37.0]],,,,37.0,,,,37.0,
29,30,[76588],mesophilic,"[[30.0], [26.0]]",,,,28.0,,,,30.0,
30,31,"[926570, 62140]",mesophilic,[[30.0]],,,,30.0,,,,30.0,
