,Unnamed: 0,colsample_bytree,eta,eval_metric,gamma,max_depth,objective,subsample,tree_method,scores_mae,scores_rmse
0,0,0.6015877121601333,0.03383497136629508,mae,0.0537011916656216,7,reg:linear,0.7634807174249806,gpu_hist,3.2981609308488906,4.390892468553167
1,1,0.7842508219831559,0.0704764914908046,mae,0.3939119475404125,9,reg:linear,0.9265946458317066,gpu_hist,3.4821557705456385,4.584279739625238
2,2,0.6385530390491512,0.03841486617391577,mae,0.9304149025112908,7,reg:linear,0.9162065376751806,gpu_hist,3.301501115548958,4.293875250002451
3,3,0.5865351514232553,0.04043791984482743,mae,0.24399054921375896,8,reg:linear,0.8804163068523922,gpu_hist,3.3265216026491333,4.635613504432179
4,4,0.6053652797688394,0.05682618501330786,mae,0.4141220218969204,9,reg:linear,0.7994717576342886,gpu_hist,3.1085592680957324,4.2790125616336505
5,5,0.6073896714381939,0.08907245581660149,mae,0.357339616285376,8,reg:linear,0.8924022956615749,gpu_hist,3.2893828570842745,4.347413649556625
6,6,0.5786557529365179,0.03052869500448922,mae,0.07531750240101309,9,reg:linear,0.9701605076353588,gpu_hist,3.535756408338794,4.808778863770331
7,7,0.988229732506698,0.14590884847783345,mae,0.9767610881903372,8,reg:linear,0.9217790738194904,gpu_hist,3.507912360229152,4.9232425089647744
8,8,0.7063215299237193,0.15444666078707428,mae,0.2902201870074773,8,reg:linear,0.9587177020501374,gpu_hist,3.1471661732999245,4.285112777028912
9,9,0.5507064916110508,0.06311209963582044,mae,0.6386753088436808,8,reg:linear,0.9141557885518441,gpu_hist,3.0831600364550797,4.313087155129678
10,10,0.6385530390491512,0.03841486617391577,mae,0.9304149025112908,7,reg:linear,0.9162065376751806,gpu_hist,3.28056492092148,4.624633704540399
11,11,0.5865351514232553,0.04043791984482743,mae,0.24399054921375896,8,reg:linear,0.8804163068523922,gpu_hist,3.2184341241009413,4.236133408207602
12,12,0.6053652797688394,0.05682618501330786,mae,0.4141220218969204,9,reg:linear,0.7994717576342886,gpu_hist,3.303872342653645,4.411323167753244
13,13,0.8913002538688781,0.08364641123899877,mae,0.585427126850794,7,reg:linear,0.7433989672646772,gpu_hist,3.661348556160541,4.945132403379494
14,14,0.6116618719228568,0.06349421072805687,mae,0.370601313904941,9,reg:linear,0.7216511959391813,gpu_hist,3.1961601736283227,4.236973977926032
15,15,0.5435646498507704,0.01586333525769446,mae,0.832619845547938,8,reg:linear,0.9610036444740456,gpu_hist,3.4052654816258343,4.649287636308356
16,16,0.8475836835126455,0.0178049081522059,mae,0.6509236659278755,9,reg:linear,0.9616748264642484,gpu_hist,2.854675876438425,3.843815315394653
17,17,0.5507064916110508,0.06311209963582044,mae,0.6386753088436808,8,reg:linear,0.9141557885518441,gpu_hist,3.3606128907280834,4.455526136371693
18,18,0.8221257109825031,0.09789937078922972,mae,0.14139534536259213,7,reg:linear,0.7502252758312178,gpu_hist,3.1678977539817104,4.384045787687726
19,19,0.5865351514232553,0.04043791984482743,mae,0.24399054921375896,8,reg:linear,0.8804163068523922,gpu_hist,3.4808429224784323,4.657493167263512
20,20,0.6053652797688394,0.05682618501330786,mae,0.4141220218969204,9,reg:linear,0.7994717576342886,gpu_hist,3.508632671563856,4.8178293631163065
21,21,0.7527067752196984,0.04434116879353167,mae,0.2786521209480455,8,reg:linear,0.7484509247072934,gpu_hist,2.9679612018143864,4.0736350383311715
22,22,0.5786557529365179,0.03052869500448922,mae,0.07531750240101309,9,reg:linear,0.9701605076353588,gpu_hist,3.297286872528132,4.395373200921216
23,23,0.8199605106637621,0.051572453348623454,mae,0.944668917049584,7,reg:linear,0.8243985819971571,gpu_hist,3.2582844722618174,4.453554924876367
24,24,0.8252653687195268,0.07749238522378338,mae,0.3247125426353349,8,reg:linear,0.8518487228464295,gpu_hist,3.3177940022019503,4.415136424948038
25,25,0.5507064916110508,0.06311209963582044,mae,0.6386753088436808,8,reg:linear,0.9141557885518441,gpu_hist,3.2194590319894973,4.2272504806865845
26,26,0.9908816135788768,0.0929007151468946,mae,0.9795898385852042,9,reg:linear,0.8893201461373996,gpu_hist,3.3374432386318067,4.5171658782021
27,27,0.7956320654887754,0.07053001652135775,mae,0.7821723848696579,9,reg:linear,0.9068297601184911,gpu_hist,3.2055831036135607,4.337280217386788
28,28,0.647469209459016,0.08403976476391463,mae,0.2205022738970106,9,reg:linear,0.7777380559708187,gpu_hist,3.4139209364417304,4.8230430183102975
29,29,0.8913002538688781,0.08364641123899877,mae,0.585427126850794,7,reg:linear,0.7433989672646772,gpu_hist,3.4858916204917008,4.73206495332813
30,30,0.8322512940263898,0.06668062673286003,mae,0.6006078393587848,9,reg:linear,0.9816052903699508,gpu_hist,3.280806694199962,4.3840766605156265
31,31,0.8199605106637621,0.051572453348623454,mae,0.944668917049584,7,reg:linear,0.8243985819971571,gpu_hist,3.047457824883724,4.213133992563245
32,32,0.6015877121601333,0.03383497136629508,mae,0.0537011916656216,7,reg:linear,0.7634807174249806,gpu_hist,3.4027024766966747,4.553118207119317
33,33,0.5507064916110508,0.06311209963582044,mae,0.6386753088436808,8,reg:linear,0.9141557885518441,gpu_hist,3.4206619932234865,4.716667615577584
34,34,0.6385530390491512,0.03841486617391577,mae,0.9304149025112908,7,reg:linear,0.9162065376751806,gpu_hist,3.347579849229275,4.561535339318646
